Track,Artist,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Shazam Counts,Explicit Track
MILLION DOLLAR BABY,Tommy Richman,"390,470,936","30,716","196,631,588","5,767,700","651,565,900","5,332,281,936","150,597,040","2,669,262",0
Not Like Us,Kendrick Lamar,"323,703,884","28,113","174,597,137","674,700","35,223,547","208,339,025","156,380,351","1,118,279",1
i like the way you kiss me,Artemas,"601,309,283","54,331","211,607,669","3,025,400","275,154,237","3,369,120,610","373,784,955","5,285,340",0
Flowers,Miley Cyrus,"2,031,280,633","269,802","136,569,078","7,189,811","1,078,757,968","14,603,725,994","3,351,188,582","11,822,942",0
Lovin On Me,Jack Harlow,"670,665,438","105,892","175,421,034","4,202,367","214,943,489","2,938,686,633","2,867,222,632","4,517,131",1
Gata Only,FloyyMenor,"675,079,153","40,094","211,236,940","3,500,000","338,546,668","3,804,584,163","2,112,581,620","6,063,523",1
BAND4BAND (feat. Lil Baby),Central Cee,"90,676,573","10,400","184,199,419","325,800","121,574,500","974,656,200","174,706,874","666,302",1
LUNCH,Billie Eilish,"221,636,195","13,800","197,280,692","195,300","45,889,000","360,017,000","342,107,131","450,344",0
LALA,Myke Towers,"925,655,569","103,605","79,944,921","11,054,500","521,725,116","7,499,234,052","2,042,145,659","2,765,808",1
Fortnight (feat. Post Malone),Taylor Swift,"395,433,400","12,784","177,932,568","139,300","25,348,800","207,317,000","268,893,710","1,210,029",0
greedy,Tate McRae,"1,258,569,694","105,218","198,845,580","2,294,429","419,319,161","5,456,156,211","2,667,285,437","6,973,652",1
BLUE,Billie Eilish,"91,272,461","6,499","52,287,548","941,900","119,740,900","1,225,345,800","5,839,168","257,661",0
As It Was,Harry Styles,"3,301,814,535","407,119","169,783,402","2,755,903","1,633,970,617","15,405,881,843","7,289,707,052","14,967,379",0
Paint The Town Red,Doja Cat,"1,065,399,331","170,890","121,712,197","3,091,732","652,428,798","7,095,564,106","1,063,591,802","7,559,816",1
Espresso,Sabrina Carpenter,"547,882,871","24,425","262,343,414","209,200","169,144,295","1,379,499,000","422,646,034","1,373,085",1
TEXAS HOLD 'EM,Beyoncï¿,"426,700,979","34,044","152,928,632","1,470,500","485,200,392","6,518,604,175","1,213,175,656","2,100,708",1
STAY (with Justin Bieber),The Kid LAROI,"3,107,100,349","451,732","134,793,519","7,485,966","2,246,991,336","23,712,377,029","4,327,058,646",,1
Baby Shark,Pinkfong,"720,822,868","60,945","7,530,769","7,743,800","281,762,094","6,577,639,193","2,166,611","2,064,420",0
SHEESH,BABYMONSTER,"124,893,397","3,479","25,936,342","212,500","48,327,004","390,081,328","38,798,822","191,867",0
Water,Tyla,"670,376,179","98,450","150,471,020","2,114,363","369,150,956","3,932,956,380","3,031,114,430","6,447,136",0
Strangers,Kenya Grace,"750,154,960","139,141","103,879,363","1,031,447","196,985,853","2,231,749,390","1,745,168,821","7,477,917",0
Lose Control,Teddy Swims,"775,135,157","88,239","180,617,454","396,560","49,060,857","597,513,595","4,016,801,205","10,517,831",0
fukumean,Gunna,"759,998,727","188,142","80,392,612","1,237,229","311,252,391","3,281,790,327","140,623,676","3,945,184",1
Dance Monkey,Tones And I,"3,071,214,106","375,201","64,901,153","10,342,366","393,814,740","5,861,939,942","2,428,166,573","44,842,636",0
BIRDS OF A FEATHER,Billie Eilish,"214,237,645","10,871","202,626,837","251,200","71,078,500","443,104,700","148,058,631","285,858",0
I'm Good (Blue),David Guetta,"1,658,229,422","262,248","239,957,538","728,093","54,258,768","1,051,836,430","1,425,853,925","10,973,120",1
Daylight,David Kushner,"1,126,820,069","177,800","85,255,689","2,557,115","285,329,503","2,578,518,632","1,205,538,057","8,681,350",0
My Love Mine All Mine,Mitski,"997,702,304","105,927","92,834,002","3,648,759","857,220,853","5,469,808,282","298,259,422","2,682,219",0
Houdini,Dua Lipa,"493,627,071","45,300","87,874,006","93,500","35,970,610","386,610,043","3,129,834,452","2,389,957",0
If We Ever Broke Up,Mae Stephens,"304,929,492","43,923","46,133,083","13,872,768","390,207,653","5,684,815,935","19,218,089","2,227,494",1
Despacito,Luis Fonsi,"1,747,093,405","178,114","49,464,650","799,338","78,304,409","1,143,297,071","569,548,901","19,622,551",0
Calm Down (with Selena Gomez),Rema,"1,391,688,322","163,876","130,963,116",599,"48,035","2,857,920","750,030,685","3,521,951",0
Shape of You,Ed Sheeran,"3,909,458,734","316,378","148,037,882","2,270,315","194,420,058","2,320,856,331","2,294,804,623","1,146,246",0
Blinding Lights,The Weeknd,"4,281,468,720","590,392","165,544,011","2,882,064","337,322,563","3,501,177,394","2,258,085,924","28,994,660",0
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,"1,337,619,917","228,295","64,806,723","423,714","148,085,419","1,268,862,678","444,033,037","6,205,060",1
